iter	Passed	Remaining
0	0	20
1	0	20
2	0	19
3	0	17
4	0	17
5	1	17
6	1	17
7	1	17
8	1	17
9	1	17
10	2	17
11	2	16
12	2	16
13	2	16
14	2	16
15	3	16
16	3	16
17	3	16
18	3	15
19	3	15
20	4	15
21	4	15
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	14
28	5	14
29	5	13
30	6	13
31	6	13
32	6	13
33	6	13
34	7	13
35	7	12
36	7	12
37	7	12
38	7	12
39	8	12
40	8	11
41	8	11
42	8	11
43	8	11
44	8	10
45	9	10
46	9	10
47	9	10
48	9	10
49	9	9
50	10	9
51	10	9
52	10	9
53	10	9
54	10	8
55	11	8
56	11	9
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	13	7
63	13	7
64	13	7
65	13	7
66	13	6
67	14	6
68	14	6
69	14	6
70	14	6
71	14	5
72	15	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	18	2
89	18	2
90	18	1
91	19	1
92	20	1
93	20	1
94	20	1
95	20	0
96	20	0
97	21	0
98	21	0
99	21	0
